sample_index,source_index,jid,formula,nat,space_group_number,crystal_system,formation_energy_peratom,optb88vdw_bandgap,split
1137,1801,JVASP-64712,Ba4YCu,6,216,cubic,0.70177,0.0,train
1138,55740,JVASP-123956,MgPt,2,187,hexagonal,-0.67947,0.0,train
1139,12824,JVASP-95230,KH3Se2O6,48,60,orthorhombic,-1.08517,4.459,train
1140,5575,JVASP-1420,Na2Te,3,225,cubic,-1.00223,2.137,train
1141,36007,JVASP-58360,HfNi3,12,166,trigonal,-0.56945,0.0,train
1142,75086,JVASP-154266,Y3Ru,16,62,orthorhombic,-0.36227,0.0,train
1143,16573,JVASP-2754,SrCd2P2,5,164,trigonal,-0.65435,0.725,train
1144,81797,JVASP-168174,YAgSe2,8,8,monoclinic,-1.2651,0.562,train
1145,58911,JVASP-126764,ZnPd,2,187,hexagonal,-0.43037,0.0,train
1146,60982,JVASP-144431,Li2FeP2O8,13,2,triclinic,-2.09206,0.211,train
1147,10180,JVASP-28376,MoSeS,6,187,hexagonal,-0.79948,0.624,train
1148,24525,JVASP-12668,V2Pb3O8,13,5,monoclinic,-2.05488,2.861,train
1149,35496,JVASP-37295,Sm3Cr,4,139,tetragonal,0.59114,0.0,train
1150,79677,JVASP-168515,La3Tm,4,139,tetragonal,-0.03999,0.0,train
1151,55998,JVASP-122260,Ti2AlO4,14,227,cubic,-3.04215,0.0,train
1152,65646,JVASP-138843,LiTlF4,6,10,monoclinic,-2.29059,2.474,train
1153,40814,JVASP-34443,Tb2SnS5,16,55,orthorhombic,-1.58166,0.106,train
1154,83831,JVASP-164871,Re3Os,8,194,hexagonal,-0.07702,0.0,train
1155,76763,JVASP-161282,Er2CdIr,4,225,cubic,-0.65594,0.0,train
1156,25124,JVASP-8789,TaO2F,8,131,tetragonal,-3.01617,2.12,train
1157,8845,JVASP-44000,LiMnF3,10,182,hexagonal,-2.69403,2.392,train
1158,12906,JVASP-42887,LiZnAg2,4,225,cubic,-0.20205,0.0,train
1159,52314,JVASP-119248,Li2VO2F,12,12,monoclinic,-2.6387,0.0,train
1160,21287,JVASP-15634,HfAlNi2,4,225,cubic,-0.65658,0.0,train
1161,38985,JVASP-33808,PmCl3,8,194,hexagonal,-2.22707,3.096,train
1162,8308,JVASP-69538,SrBe2Mo,4,123,tetragonal,0.34919,0.0,train
1163,80579,JVASP-186517,TaGaO,3,187,hexagonal,-0.94285,0.0,train
1164,29806,JVASP-9530,MgCrO2,16,12,monoclinic,-1.97417,0.0,train
1165,50907,JVASP-102436,Li2MnCoO4,8,119,tetragonal,-1.69764,0.0,train
1166,27526,JVASP-79309,CuS,2,216,cubic,-0.25291,0.0,train
1167,67616,JVASP-138351,SBr2,3,1,triclinic,0.06197,1.118,train
1168,65839,JVASP-143120,Li5Mn2Co2P4O16,29,1,triclinic,-2.08642,0.0,train
1169,23634,JVASP-13303,Fe2NiO4,14,74,orthorhombic,-1.26191,0.0,train
1170,23354,JVASP-19103,Ca2SiO4,28,14,monoclinic,-3.28354,5.172,train
1171,89395,JVASP-178259,TmGaAg,6,12,monoclinic,-0.48932,0.0,train
1172,3034,JVASP-86055,Zr2Al3C4,18,194,hexagonal,-0.60186,0.0,train
1173,34290,JVASP-39312,Fe3B,16,62,orthorhombic,-0.20168,0.0,train
1174,18743,JVASP-101737,CdAu,2,187,hexagonal,-0.12654,0.0,train
1175,77357,JVASP-158056,CaGa2Pt2,5,139,tetragonal,-0.82511,0.0,train
1176,10573,JVASP-69918,YBe2Co,4,123,tetragonal,-0.01572,0.0,train
1177,41967,JVASP-17448,HoCuPb,6,186,hexagonal,-0.40872,0.0,train
1178,78461,JVASP-166123,YbH4N2,14,141,tetragonal,-0.68413,2.403,train
1179,64929,JVASP-135044,HO2,3,1,triclinic,-0.12327,0.0,train
1180,8018,JVASP-73931,TiBeV2,4,99,tetragonal,-0.0128,0.0,train
1181,13496,JVASP-96800,LiYP4O12,36,15,monoclinic,-2.56452,6.319,train
1182,3570,JVASP-69236,BaGaBi2,4,99,tetragonal,-0.32927,0.0,train
1183,39685,JVASP-55675,BaZnCl4,24,60,orthorhombic,-1.928,4.683,train
1184,66970,JVASP-134829,RbOF2,4,99,tetragonal,-0.98325,0.0,train
1185,77157,JVASP-159845,RbVSO,8,51,orthorhombic,-1.64103,0.0,train
1186,16062,JVASP-100328,UMnAl,6,74,orthorhombic,-0.15471,0.0,train
1187,60341,JVASP-137855,BaBiO,3,187,hexagonal,-0.0098,0.0,train
1188,72694,JVASP-147642,CoH2O2,5,164,trigonal,-0.84201,0.0,train
1189,23837,JVASP-29675,CdI2,24,156,trigonal,-0.58106,2.188,train
1190,5903,JVASP-69068,BaYPd2,4,123,tetragonal,-0.53072,0.0,train
1191,85186,JVASP-186746,Ga2Ni,3,123,tetragonal,-0.29095,0.0,train
1192,69668,JVASP-156170,ScAl2Ir,8,63,orthorhombic,-0.88604,0.0,train
1193,28886,JVASP-11028,CaMn2O4,14,12,monoclinic,-2.13022,0.0,train
1194,37631,JVASP-39029,Sm3Ti,4,139,tetragonal,0.22235,0.0,train
1195,90977,JVASP-190920,TiAlRu2,4,123,tetragonal,-0.76178,0.0,train
1196,89193,JVASP-170192,FeAgBr4,24,14,monoclinic,-0.44961,0.397,train
1197,53096,JVASP-118424,HIO,3,6,monoclinic,-0.34824,0.0,train
1198,45662,JVASP-53358,Tb2YbS4,14,122,tetragonal,-2.31753,2.162,train
1199,63839,JVASP-136899,LaCl2,3,25,orthorhombic,-2.13757,0.0,train
1200,59023,JVASP-125052,Ar3Pd,4,221,cubic,0.84907,0.0,train
1201,43845,JVASP-44131,LiCoSiO4,28,33,orthorhombic,-2.01572,0.149,train
1202,35340,JVASP-16315,LuRh3C,5,221,cubic,-0.58193,0.0,train
1203,79816,JVASP-166609,Zr3PbO4F6,28,225,cubic,-3.58377,2.902,train
1204,81759,JVASP-179835,CaMgIn,3,187,hexagonal,-0.37847,0.0,train
1205,24157,JVASP-29631,CdI2,15,156,trigonal,-0.58144,2.19,train
1206,85545,JVASP-165725,Ta2Pb2O7,22,227,cubic,-2.45249,1.641,train
1207,52111,JVASP-117355,Ho2CoPtO6,20,14,monoclinic,-2.34903,0.0,train
1208,83971,JVASP-178882,SrNiGe,3,187,hexagonal,-0.5549,0.0,train
1209,71513,JVASP-150087,Ce3Al,8,194,hexagonal,-0.23289,0.0,train
1210,19837,JVASP-106680,ZrMo,2,65,orthorhombic,0.06741,0.0,train
1211,37110,JVASP-9173,P2Pt,12,205,cubic,-0.68546,1.024,train
1212,25074,JVASP-50785,Ho2Ge2O7,22,227,cubic,-2.8275,3.221,train
1213,73935,JVASP-148888,HoAlGe,6,63,orthorhombic,-0.67974,0.0,train
1214,45558,JVASP-20207,ThOs2,6,227,cubic,-0.30777,0.0,train
1215,23318,JVASP-12187,SiAs3,8,194,hexagonal,0.55963,0.0,train
1216,71268,JVASP-147549,NaNbS6,16,9,monoclinic,-0.73401,1.649,train
1217,22362,JVASP-12914,MgBi2O6,18,136,tetragonal,-1.39854,0.048,train
1218,1776,JVASP-90546,NaMg6Nb,8,123,tetragonal,0.15368,0.0,train
1219,58963,JVASP-128276,PrTa,2,221,cubic,0.7883,0.0,train
1220,36494,JVASP-15890,ThGe2,6,141,tetragonal,-0.51818,0.0,train
1221,5861,JVASP-67907,SrBeV2,4,216,cubic,0.93672,0.0,train
1222,39392,JVASP-42908,LiMnPO4,14,148,trigonal,-2.14732,2.189,train
1223,76345,JVASP-160876,LuInHg,3,216,cubic,-0.26996,0.0,train
1224,22642,JVASP-2865,Ca4As2O,7,139,tetragonal,-1.89181,1.237,train
1225,57819,JVASP-126427,Pb3Se,4,221,cubic,-0.07345,0.0,train
1226,18371,JVASP-103623,NdHgAu2,4,225,cubic,-0.5914,0.0,train
1227,65078,JVASP-137184,VAsO2,4,99,tetragonal,-1.45954,0.0,train
1228,83260,JVASP-182962,GaCuO,3,187,hexagonal,-0.3124,0.0,train
1229,56117,JVASP-122359,LiFeSiO4,28,198,cubic,-2.20567,1.449,train
1230,20032,JVASP-106681,ZrNbB4,6,191,hexagonal,-0.84442,0.0,train
1231,88749,JVASP-170515,Mn3Co3Te2O12,20,146,trigonal,-1.13196,0.0,train
1232,67691,JVASP-139453,AlTeO4,6,10,monoclinic,-1.65464,0.0,train
1233,8500,JVASP-15266,Er2Mo2C3,7,12,monoclinic,-0.46613,0.0,train
1234,51881,JVASP-111326,Zr2As3Se,6,99,tetragonal,-0.98724,0.0,train
1235,64189,JVASP-141001,V2O3F3,16,1,triclinic,-2.69869,0.184,train
1236,52316,JVASP-118679,Mg2Cd,3,47,orthorhombic,0.06043,0.0,train
1237,3030,JVASP-97420,AsCS3N2F11,36,2,triclinic,-1.28957,3.276,train
1238,61685,JVASP-138981,AlSCl,3,25,orthorhombic,-1.06068,2.601,train
1239,21501,JVASP-16922,YTiO3,5,221,cubic,-3.22673,0.0,train
1240,18637,JVASP-15625,K2CuF4,7,139,tetragonal,-2.45716,0.0,train
1241,8950,JVASP-88112,B2Se2O7,44,19,orthorhombic,-1.53571,3.885,train
1242,20780,JVASP-104823,Rb2LiAsF6,10,225,cubic,-2.75102,4.677,train
1243,13829,JVASP-3732,Sr2H6Ru,9,225,cubic,-0.63704,2.179,train
1244,54575,JVASP-120741,Li2AlCoO4,16,7,monoclinic,-2.19003,0.0,train
1245,30956,JVASP-53678,InAgS2,4,187,hexagonal,-0.25559,0.0,train
1246,91925,JVASP-187507,Nb2HIrOs,5,123,tetragonal,-0.2399,0.0,train
1247,53477,JVASP-117633,BeTlBr,3,187,hexagonal,0.50364,0.0,train
1248,67701,JVASP-135150,TaSeI,3,25,orthorhombic,0.20626,0.0,train
1249,57608,JVASP-122438,Sb4Te7Pb,12,164,trigonal,-0.18141,0.133,train
1250,10742,JVASP-63894,Ba4NbGe,6,216,cubic,0.90163,0.0,train
1251,32360,JVASP-35327,ThSi2Ru3,6,191,hexagonal,-0.67216,0.0,train
1252,27843,JVASP-55631,Bi2O3,20,114,tetragonal,-1.32622,1.404,train
1253,69921,JVASP-156780,Mn2SiMo,4,225,cubic,-0.21679,0.0,train
1254,29336,JVASP-13967,SrSi,2,221,cubic,-0.21644,0.0,train
1255,30166,JVASP-58377,Zn3P2,10,224,cubic,-0.01164,0.0,train
1256,34875,JVASP-39191,ScNb,2,187,hexagonal,0.16506,0.0,train
1257,58486,JVASP-124604,SO7,8,1,triclinic,-0.08265,0.987,train
1258,21304,JVASP-107469,Pm2CdGa,4,225,cubic,-0.47185,0.0,train
1259,7176,JVASP-68386,BeIn2Ge,4,119,tetragonal,0.49153,0.0,train
1260,80999,JVASP-182566,BaY2Sn,4,99,tetragonal,-0.29614,0.0,train
1261,46156,JVASP-29663,Er6I7,13,12,monoclinic,-0.9447,0.0,train
1262,65962,JVASP-139382,Li2P,3,2,triclinic,-0.63382,0.0,train
1263,80057,JVASP-173066,YMgCu,9,189,hexagonal,-0.26597,0.0,train
1264,68245,JVASP-133673,Li2CrP2O7,24,2,triclinic,-2.24896,1.332,train
1265,23166,JVASP-18655,TbCd3,8,194,hexagonal,-0.31383,0.0,train
1266,74840,JVASP-151758,Ce2Au,12,62,orthorhombic,-0.519,0.0,train
1267,41739,JVASP-54739,ZnH2O2,20,19,orthorhombic,-1.23047,3.068,train
1268,44609,JVASP-17685,LiGa2Pt,4,225,cubic,-0.60099,0.0,train
1269,23036,JVASP-4343,S5N6,22,15,monoclinic,0.64863,2.014,train
1270,92976,JVASP-190238,Li2CdHPd,5,123,tetragonal,-0.42115,0.0,train
1271,20472,JVASP-102787,Ce2CdSb4,7,115,tetragonal,-0.71992,0.0,train
1272,66662,JVASP-134247,SrBrF,6,129,tetragonal,-3.3006,5.169,train
1273,26489,JVASP-43484,LiFeF4,12,63,orthorhombic,-2.47895,1.938,train
1274,55359,JVASP-122867,LiSm3,4,164,trigonal,0.05988,0.0,train
1275,24305,JVASP-49168,Sr2Ta2O7,22,36,orthorhombic,-3.2969,3.067,train
1276,89619,JVASP-190253,Y2MgSnC,5,123,tetragonal,-0.62269,0.0,train
1277,47023,JVASP-53535,Sm2PbS4,14,122,tetragonal,-1.75622,2.22,train
1278,38880,JVASP-47083,LiVF3,10,63,orthorhombic,-2.73936,0.527,train
1279,13903,JVASP-15011,TaBe2,6,227,cubic,-0.17009,0.0,train
1280,40895,JVASP-35152,Ga3BN4,8,215,cubic,-0.56042,2.624,train
1281,70027,JVASP-150255,PrInRh,9,189,hexagonal,-0.72847,0.0,train
1282,52180,JVASP-117412,Li3Fe7O12,22,5,monoclinic,-1.56535,0.021,train
1283,53578,JVASP-119681,Mg2Cr3FeS8,14,166,trigonal,-0.9239,0.0,train
1284,62395,JVASP-140262,PrCO4,24,62,orthorhombic,-2.13327,0.0,train
1285,50803,JVASP-113150,Li2V3O6,11,12,monoclinic,-2.47186,0.0,train
1286,49228,JVASP-112560,PtS,16,84,tetragonal,-0.42937,0.195,train
1287,72025,JVASP-149683,LaSi,8,62,orthorhombic,-0.77042,0.0,train
1288,71251,JVASP-147167,Li2CrP2O8,26,2,triclinic,-2.2825,0.0,train
1289,65199,JVASP-136109,Br3N,4,146,trigonal,0.60833,1.467,train
1290,76271,JVASP-159967,HgSb,8,51,orthorhombic,0.18844,0.0,train
1291,48251,JVASP-110493,TmCdCu4,6,216,cubic,-0.2733,0.0,train
1292,14250,JVASP-92434,KCrF3,5,221,cubic,-2.66007,0.0,train
1293,44141,JVASP-109138,Ti4Fe2P3,9,38,orthorhombic,-1.02575,0.0,train
1294,29250,JVASP-81990,Ca3Mg,4,123,tetragonal,-0.02259,0.0,train
1295,14697,JVASP-92582,TbCoSi3,5,107,tetragonal,-0.60347,0.0,train
1296,58225,JVASP-129301,NaHo,2,187,hexagonal,0.26256,0.0,train
1297,194,JVASP-42804,V4O3F9,16,5,monoclinic,-2.89723,0.0,train
1298,82605,JVASP-181323,Fe3SiC,5,221,cubic,-0.08218,0.0,train
1299,3870,JVASP-66245,Ba4TaIr,6,216,cubic,1.41979,0.0,train
1300,56003,JVASP-122265,LiVO2,16,2,triclinic,-2.50556,0.393,train
1301,6681,JVASP-90842,FeSe,4,63,orthorhombic,-0.03684,0.0,train
1302,47851,JVASP-54498,Na2ZnCl4,28,62,orthorhombic,-1.61651,4.621,train
1303,29047,JVASP-81370,Hf2MoPt,4,71,orthorhombic,3.34318,0.0,train
1304,34040,JVASP-42098,PmAgHg2,4,225,cubic,-0.2663,0.0,train
1305,3419,JVASP-97798,SmGeRu,12,62,orthorhombic,-0.68044,0.0,train
1306,68038,JVASP-121696,Li2MoP2O8,13,8,monoclinic,-2.24999,0.0,train
1307,1154,JVASP-88720,K11LiMn4O16,32,121,tetragonal,-1.93397,1.154,train
1308,33609,JVASP-35521,SiSbPt5,7,123,tetragonal,-0.3616,0.0,train
1309,51393,JVASP-113569,CaZrS2,4,123,tetragonal,-1.66102,0.0,train
1310,47153,JVASP-58468,AlFe2O4,14,227,cubic,-1.95825,0.0,train
1311,36917,JVASP-77299,CdCuPd2,4,71,orthorhombic,1.95712,0.157,train
1312,69427,JVASP-150465,Mn2P,9,38,orthorhombic,-0.40717,0.0,train
1313,73503,JVASP-149746,PbS,8,28,orthorhombic,-0.4271,0.699,train
1314,78658,JVASP-180100,SrIrO,3,187,hexagonal,-0.55355,0.0,train
1315,29848,JVASP-10713,BaC2S2N2,14,15,monoclinic,-0.56864,3.912,train
1316,91974,JVASP-187610,LaY2ScH,5,123,tetragonal,-0.16832,0.0,train
1317,58677,JVASP-124711,VSb5,6,164,trigonal,0.20982,0.0,train
1318,69138,JVASP-157304,TiV2W,4,225,cubic,0.1267,0.0,train
1319,75830,JVASP-156142,B2Ir2Au,5,139,tetragonal,-0.10745,0.0,train
1320,24425,JVASP-47888,LiMn2O4,14,74,orthorhombic,-1.94689,0.0,train
1321,40233,JVASP-41234,DyB4Mo,24,55,orthorhombic,-0.64153,0.209,train
1322,20856,JVASP-105535,DyMnGa,9,38,orthorhombic,-0.15931,0.0,train
1323,16728,JVASP-18473,TbBr,4,166,trigonal,-1.2532,0.0,train
1324,60967,JVASP-138661,RbTlCl,3,38,orthorhombic,-0.78396,0.0,train
1325,67174,JVASP-136174,SnBr,4,129,tetragonal,-0.35561,0.0,train
1326,82544,JVASP-177440,Tb2Be2SiO7,24,113,tetragonal,-3.43769,5.178,train
1327,8241,JVASP-88004,Ba2MnReO6,10,225,cubic,-2.38841,0.0,train
1328,60563,JVASP-138128,AsO,2,187,hexagonal,-0.46433,0.0,train
1329,69789,JVASP-150959,Dy3Cu4Sn4,11,71,orthorhombic,-0.53035,0.0,train
1330,15339,JVASP-99765,Eu2CdGe,4,225,cubic,-0.52733,0.0,train
1331,9657,JVASP-85534,Pb4SeBr6,11,8,monoclinic,-0.86801,2.105,train
1332,27680,JVASP-80005,YbInPd2,4,225,cubic,-0.81676,0.0,train
1333,24811,JVASP-9399,Nb2SnO6,18,15,monoclinic,-2.48048,1.844,train
1334,84205,JVASP-171106,Lu5Re2C7,14,65,orthorhombic,-0.53772,0.0,train
1335,39695,JVASP-37032,TiFeCoSi,4,216,cubic,-0.62306,0.0,train
1336,2452,JVASP-62229,CuAs2O4,28,135,tetragonal,-1.08469,0.603,train
1337,36759,JVASP-14213,TlP5,24,26,orthorhombic,-0.04146,1.128,train
1338,68277,JVASP-148234,Ta2SiNi3,12,194,hexagonal,-0.426,0.0,train
1339,68338,JVASP-149990,BC7,8,156,trigonal,0.18669,0.0,train
1340,87507,JVASP-182386,LiBF2,4,166,trigonal,-1.67288,0.656,train
1341,2563,JVASP-97709,ThTe2O6,36,14,monoclinic,-2.16379,3.492,train
1342,48181,JVASP-110804,HoTmAg2,4,225,cubic,-0.38353,0.0,train
1343,69543,JVASP-157162,La2ErMg,4,225,cubic,0.0017,0.0,train
1344,39822,JVASP-77354,ScCuHg2,4,71,orthorhombic,1.59542,0.008,train
1345,43529,JVASP-57642,Yb2S3,10,167,trigonal,-1.40784,0.0,train
1346,60382,JVASP-135462,SrAlP2,4,99,tetragonal,-0.42374,0.0,train
1347,75674,JVASP-156424,InPbAu,3,216,cubic,-0.10825,0.0,train
1348,10238,JVASP-69514,Be2PdCl,4,119,tetragonal,0.14069,0.0,train
1349,9511,JVASP-91325,Er2WO6,36,19,orthorhombic,-3.29319,0.612,train
1350,85097,JVASP-165714,SrI2O6,18,4,monoclinic,-1.15242,3.415,train
1351,68234,JVASP-154688,Cu2HgGeS4,16,31,orthorhombic,-0.29899,0.034,train
1352,56560,JVASP-128466,YbTe2,3,12,monoclinic,-0.96171,0.0,train
1353,56718,JVASP-128548,XeBr,2,187,hexagonal,0.48752,0.0,train
1354,8023,JVASP-67025,Be2CoHg,4,123,tetragonal,0.14435,0.0,train
1355,1498,JVASP-64170,Ba4HgSe,6,216,cubic,0.07374,0.0,train
1356,84929,JVASP-172766,Er6MgGe2S14,23,143,trigonal,-1.69525,1.935,train
1357,54767,JVASP-119749,LiV2OF5,27,1,triclinic,-2.9002,0.0,train
1358,7462,JVASP-73709,Be2CrCu,4,225,cubic,0.08346,0.0,train
1359,16766,JVASP-99554,Nb2Tc,3,69,orthorhombic,-0.11265,0.0,train
1360,32596,JVASP-41230,Mn2AlRe,4,225,cubic,-0.19607,0.0,train
1361,5691,JVASP-88671,SbS24I3,28,160,trigonal,-0.05935,2.222,train
1362,70107,JVASP-150257,LuInCu,9,189,hexagonal,-0.42582,0.0,train
1363,86745,JVASP-170461,NdHoAl4,6,216,cubic,-0.52697,0.0,train
1364,77934,JVASP-172982,Ba2Mn2O5,18,74,orthorhombic,-2.34183,0.0,train
1365,44604,JVASP-58487,ZnNi4S8,13,166,trigonal,-0.33877,0.0,train
1366,77694,JVASP-159559,K2ZrF6,18,63,orthorhombic,-3.62188,5.918,train
1367,14239,JVASP-93843,TbCu5,6,216,cubic,-0.21099,0.0,train
1368,50699,JVASP-115429,NaAsS,3,99,tetragonal,0.07291,0.0,train
1369,84131,JVASP-168243,UMn4P2,14,136,tetragonal,-0.56565,0.0,train
1370,10312,JVASP-105888,Zr3Mn,4,221,cubic,0.28991,0.0,train
1371,90450,JVASP-190039,V2CrRh,4,123,tetragonal,-0.2692,0.0,train
1372,2629,JVASP-62041,LiAlH4,24,14,monoclinic,-0.24754,4.884,train
1373,20338,JVASP-15036,PaO,2,225,cubic,-2.63767,0.0,train
1374,44281,JVASP-108908,Sr2PrTaO6,10,225,cubic,-3.22162,3.446,train
1375,90199,JVASP-189795,Rh7W,8,225,cubic,-0.049,0.0,train
1376,78569,JVASP-165097,KGaSb4,24,62,orthorhombic,-0.25755,0.292,train
1377,90901,JVASP-186981,Ti2VCu,4,123,tetragonal,-0.05294,0.0,train
1378,26722,JVASP-78592,LaTl,2,221,cubic,-0.44888,0.0,train
1379,21444,JVASP-50066,Y4Cu2O7,13,12,monoclinic,-3.00586,1.928,train
1380,44014,JVASP-40358,RhCl2,6,136,tetragonal,-0.41472,0.0,train
1381,62150,JVASP-123243,Er3Ru,4,164,trigonal,-0.09327,0.0,train
1382,61722,JVASP-136558,MgMoF3,5,221,cubic,-1.94421,0.0,train
1383,24779,JVASP-55758,CoSeO3,20,62,orthorhombic,-0.81779,0.178,train
1384,47594,JVASP-21701,ScRe2,12,194,hexagonal,-0.38219,0.0,train
1385,35646,JVASP-36582,MgGeAs2,8,122,tetragonal,-0.29762,0.554,train
1386,65889,JVASP-136128,AgIO,3,99,tetragonal,0.39438,0.0,train
1387,51527,JVASP-117134,La3MnO7,22,4,monoclinic,-3.05734,0.0,train
1388,63689,JVASP-135004,NaHS,3,6,monoclinic,-0.53555,2.268,train
1389,23234,JVASP-8594,K2SnCl6,9,225,cubic,-1.52161,2.167,train
1390,77706,JVASP-159372,Er4Ga12Ni,17,229,cubic,-0.55653,0.0,train
1391,14182,JVASP-93893,NbNi2,6,227,cubic,-0.1832,0.0,train
1392,5378,JVASP-62548,CeB2C2,10,127,tetragonal,-0.4861,0.0,train
1393,27091,JVASP-9946,Ca2YSnO5,18,1,triclinic,-2.88382,2.543,train
1394,84134,JVASP-171100,DyZn12,13,139,tetragonal,-0.17319,0.0,train
1395,49277,JVASP-114536,BaMnBr2,4,99,tetragonal,-0.81111,0.0,train
1396,59068,JVASP-126850,RbSb,2,187,hexagonal,-0.18455,0.0,train
1397,43006,JVASP-107915,DyTmIr2,4,225,cubic,-0.99692,0.0,train
1398,50887,JVASP-113179,BaMn3O6,20,12,monoclinic,-2.11266,0.0,train
1399,72728,JVASP-149089,RbBi2,6,227,cubic,-0.3783,0.0,train
1400,40564,JVASP-55237,Lu2ZnS4,28,62,orthorhombic,-1.83115,2.372,train
1401,73480,JVASP-151485,PrP2Rh2,10,129,tetragonal,-1.08951,0.0,train
1402,35651,JVASP-39070,SmHoIr2,4,225,cubic,-0.85978,0.0,train
1403,64839,JVASP-144763,Li2VCrO4,8,119,tetragonal,-2.31185,0.0,train
1404,4926,JVASP-90882,CaFeAsF,8,129,tetragonal,-1.94137,0.0,train
1405,76549,JVASP-159652,AcMgNO,8,26,orthorhombic,-2.03075,0.76,train
1406,5988,JVASP-87975,RbClO4,24,62,orthorhombic,-0.65183,6.028,train
1407,74904,JVASP-146680,ThV2PbO8,12,119,tetragonal,-2.79231,2.139,train
1408,44305,JVASP-108748,NbMoSe3,10,11,monoclinic,-0.69263,0.0,train
1409,42908,JVASP-106320,YGaAg,6,12,monoclinic,-0.5261,0.0,train
1410,6738,JVASP-66814,MnBe2Tc,4,123,tetragonal,0.01841,0.0,train
1411,69198,JVASP-148943,Rb2Te,6,194,hexagonal,-1.10501,1.448,train
1412,1697,JVASP-64929,BeCo4Pb,6,216,cubic,0.44284,0.0,train
1413,30468,JVASP-42384,Li3Mn2P4O14,23,1,triclinic,-2.20043,0.202,train
1414,38646,JVASP-37073,TbKS2,4,166,trigonal,-2.06139,2.369,train
1415,67135,JVASP-133320,K3NaOs2O9,30,194,hexagonal,-1.56163,0.0,train
1416,77680,JVASP-161717,In2Te5,14,9,monoclinic,-0.21747,0.7,train
1417,22300,JVASP-106770,MnNiSb2,4,164,trigonal,-0.0743,0.0,train
1418,52714,JVASP-116461,Zn3Mo3O8,14,12,monoclinic,-1.73084,0.0,train
1419,82113,JVASP-170344,Rb3GeF7,22,127,tetragonal,-2.91101,4.423,train
1420,67731,JVASP-139175,TlIO,6,129,tetragonal,-0.3895,0.0,train
1421,21840,JVASP-52232,Li3Cu4O4,11,44,orthorhombic,-1.19378,0.0,train
1422,47145,JVASP-56378,DyAl3,16,194,hexagonal,-0.45639,0.0,train
1423,77566,JVASP-133064,Nb6AgSe8,15,147,trigonal,-0.74566,0.0,train
1424,46611,JVASP-31299,AsHPbO4,14,13,monoclinic,-1.29878,3.054,train
1425,39119,JVASP-10082,ReAgO4,12,88,tetragonal,-1.34988,1.963,train
1426,81737,JVASP-172473,ZnGeAsP,8,24,orthorhombic,-0.18362,0.446,train
1427,45644,JVASP-17637,MnGaNi2,4,225,cubic,-0.23558,0.0,train
1428,15320,JVASP-99582,InAgTe2,4,123,tetragonal,-0.15841,0.0,train
1429,38089,JVASP-37350,TbYTl2,4,225,cubic,-0.38477,0.0,train
1430,82239,JVASP-170688,Cr4GaCuSe8,14,216,cubic,-0.53354,0.0,train
1431,40935,JVASP-19353,CaBiO3,20,62,orthorhombic,-2.03073,0.0,train
1432,84647,JVASP-171804,Ca,1,229,cubic,0.01482,0.0,train
1433,78014,JVASP-173979,AlSb3Pb4O13,21,160,trigonal,-1.69947,1.291,train
1434,57749,JVASP-122505,Li2Mn2FeO6,22,12,monoclinic,-1.90897,0.143,train
1435,51758,JVASP-111265,CuBiO3,5,221,cubic,-0.86448,0.0,train
1436,18928,JVASP-103733,AlAu4,5,12,monoclinic,-0.17355,0.0,train
1437,40473,JVASP-46065,K2Mg2O3,28,96,tetragonal,-2.23085,3.325,train
1438,81327,JVASP-184508,TaPO,6,71,orthorhombic,-1.46756,0.0,train
1439,35528,JVASP-39474,Re3Ir,4,139,tetragonal,-0.0802,0.0,train
1440,14466,JVASP-94945,UGa5Ru,7,123,tetragonal,-0.31928,0.0,train
1441,79521,JVASP-170956,LaAsO3,10,11,monoclinic,-2.63529,2.963,train
1442,75945,JVASP-156416,PrHgPb,3,216,cubic,-0.26003,0.0,train
1443,16713,JVASP-100677,K2InAgCl6,10,225,cubic,-1.37039,0.851,train
1444,38283,JVASP-45849,LiCoPO4,14,9,monoclinic,-1.90851,0.814,train
1445,25189,JVASP-21751,RbVSe2,16,70,orthorhombic,-0.98778,0.0,train
1446,54584,JVASP-119932,BaCaBr2,4,99,tetragonal,-1.60003,0.0,train
1447,30675,JVASP-29060,MoWSeS3,12,156,trigonal,-0.82673,0.773,train
1448,90993,JVASP-193167,LiMgPb2,4,225,cubic,-0.22409,0.0,train
1449,35282,JVASP-40591,ScTlRh2,4,225,cubic,-0.58321,0.0,train
1450,15988,JVASP-99917,TiIn,2,123,tetragonal,-0.14414,0.0,train
1451,48552,JVASP-112372,Cu3Ag3P2S8,16,1,triclinic,-0.25752,0.97,train
1452,53553,JVASP-119220,Ce2MgS4,14,122,tetragonal,-1.95026,0.0,train
1453,36177,JVASP-16294,Tm,1,229,cubic,0.14599,0.0,train
1454,65961,JVASP-144790,Na2Ni3O7,24,1,triclinic,-1.13219,0.591,train
1455,40280,JVASP-46471,Li4Cr3NiO8,16,12,monoclinic,-2.06106,0.018,train
1456,91599,JVASP-191425,Ti3ZnO,5,221,cubic,-1.23739,0.0,train
1457,90309,JVASP-191036,LiTiZn6,8,187,hexagonal,-0.19598,0.0,train
1458,83251,JVASP-169715,Mn2CrSi,4,225,cubic,-0.267,0.0,train
1459,31683,JVASP-35288,ErInNi4,6,216,cubic,-0.4322,0.0,train
